,TCI
0,144.553829268816
1,180.69992433366954
2,170.96844911762759
3,161.5784915851663
4,178.29377402988783
5,185.71605607878317
6,156.49339206979025
7,183.62833913442958
8,163.5132010285949
9,182.91558709609006
10,157.2122601132932
11,149.8101258647636
12,163.40516075313863
13,146.26398289283566
14,155.6287328890239
15,155.19022862424637
16,162.03864377178544
17,152.74959510125515
18,146.53877231030137
19,133.6625845925624
20,138.7085373603353
21,146.56691418492883
22,140.0913555207379
23,156.58893422051776
24,156.1182643737979
25,142.99421371924956
26,164.25423904539093
27,167.93491934611947
28,151.69106993091003
29,158.86497042230735
30,145.35117152365288
31,149.85744978063528
32,179.88907920902457
33,175.7546448380436
34,156.69313727341807
35,155.12658694288962
36,178.73357294226463
37,148.93948136835164
38,159.61867395487522
39,173.820173132782
40,181.6924889192461
41,141.15463709164646
42,181.00724699839395
43,195.17712203753717
44,156.2904211139613
45,149.5757040727426
46,150.12838050947926
47,155.7485818888195
48,155.1246148641682
49,154.78846973565786
50,188.091256906926
51,156.68725883060281
52,136.75753688497588
53,141.84486988120426
54,153.5842876416703
55,137.7461402250486
56,161.93951639293795
57,163.6569162179786
58,149.24410908356765
